         8319170 function calls (8259836 primitive calls) in 50.108 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1238(__iter__)
     1943    0.046    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     3886    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      122    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
     1889    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
     7793    0.003    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
1121/1120    0.006    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
     1120    0.001    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
     4334    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      123    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
      984    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1465(<genexpr>)
      101    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1481(find_loader)
     1072    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
     2367    0.021    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
     3753    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      123    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
      581    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
      123    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
     1195    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
     1940    0.007    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     1072    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
  972/971    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      101    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:536(_find_module_shim)
      970    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      970    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
      970    0.003    0.000    0.113    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
     2367    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
     1072    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
