         6205180 function calls (6143189 primitive calls) in 2618.830 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
   1709/3    0.007    0.000    2.699    0.900 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
   1720/3    0.009    0.000    2.699    0.900 <frozen importlib._bootstrap>:986(_find_and_load)
     1412    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
     1413    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(get_filename)
     1413    0.009    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1045(get_resource_reader)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1055(resource_path)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1061(is_resource)
     1412    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
  212/210    0.001    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:1164(create_module)
  212/154    0.000    0.000    0.096    0.001 <frozen importlib._bootstrap_external>:1172(exec_module)
    18547    0.012    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1211(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1221(_get_parent_path)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1225(_recalculate)
    18547    0.010    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1238(__iter__)
     2827    0.006    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     5654    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      178    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
     2552    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
